월별 양품률,,,,
date, BLK_1 , BLK_2 , BLK_3 , BLK_4 
202004,85.1,90.1,71,70
202005,85.1,90.1,74.2,73.2
202006,85.1,90.1,75.9,74.9
,,,,
월별 수요량,,,,
date, BLK_1 , BLK_2 , BLK_3 , BLK_4 
202004, - ,"125,822.00", - , - 
202005,"62,350.00","118,602.00","97,394.00", - 
202006,"924,003.00", - ,"1,005,880.00","921,032.00"
,,,,
월별 제작량,,,,
date, BLK_1 , BLK_2 , BLK_3 , BLK_4 
202004, - ,"139,647.10", - , - 
202005,"73,266.70","131,633.70","131,258.80", - 
202006,"1,085,785.00", - ,"1,325,270.10","1,229,682.20"
합계,"1,159,051.70","271,280.80","1,456,528.90","1,229,682.20"
,,,,
자르기,,,,
, MOL_1 , MOL_2 , MOL_3 , MOL_4 
, BLK_1 , BLK_2 , BLK_3 , BLK_4 
,506,506,400,400
,,,,
성형 수요량,,,,
, MOL_1 , MOL_2 , MOL_3 , MOL_4 
,"2,290.60",536.1,"3,641.30","3,074.20"
,,,,
성형 양품률,,, 원형 양품률 ,
0.975 ,,,0.985 ,
,,,,
성형 제작량(원형 수요량),,,,
, MOL_1 , MOL_2 , MOL_3 , MOL_4 
,"2,349.30",549.9,"3,734.70","3,153.00"
,,,,
원형 제작량,,,,
, PRT_1 , PRT_2 , PRT_3 , PRT_4 
,"2,385.10",558.2,"3,791.60","3,201.00"
,,,,
